affectation,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
code série,N2667,N2668,N2669,N2670,N2671,N2672,N2673,N2674,N2675,N2676,N2677,N2678,N2679,N2680,N2681,N2682,N2683,N2684,N2685,N2686,N2687,N2688,N2689,N2690,N2691,N2692,N2693
nbre d'observations,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135
année de la 1ère obs,1983,1983,1983,1983,1983,1983,1983,1983,1983,1983,1983,1983,1983,1983,1983,1983,1983,1983,1983,1983,1983,1983,1983,1983,1983,1983,1983
mois de la 1ère obs,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,5572.3,8335,5488.95,4863.1,6258.5,6878,5767,11670,6879.3,3877,3612.4,5212,6210,4270,5280,6705,4058,8270,3316,4920,7638,8090,6591,4985,5214,6104.8,5375
,5565.55,8320,5482.35,4863.25,6191,6764,5772.5,11602.5,6851.7,3812,3612,5213.5,6290,4230,5280,6705,4034,8285,3352,4910,7633,8065,6591.5,4969,5213,6108,5388
,5576.85,8320,5493.65,4899.7,5939.5,6720,5704,11530,6846.6,3789,3615.4,5217.5,6330,4290,5280,6690,4014,8305,3356,4900,7642,8065,6611.4,4980,5209,6131.2,5398
,5577.3,8355,5493.75,4942,5517.5,6682,5634,10925,6875.4,3814,3631.8,5247.5,6450,4360,5330,6730,4012,8345,3384,4905,7664,8070,6629.1,4989,5225,6151.2,5422
,5598.85,8345,5515.4,4977.15,5382.5,6656,5577,11345,6912.3,3841,3652,5287.5,6570,4420,5360,6755,4066,8385,3412,4910,7685,8075,6645.5,4993,5239,6168.8,5432
,5752.55,8340,5669.15,5090.65,5785,6924,5623,11175,6950.7,3900,3666,5310,6700,4450,5380,6785,4064,8445,3428,4910,7710,8075,6672.5,4995,5263,6201.2,5445
,5782.2,8320,5699,5163.65,5353.5,6962,5274,10822.5,7000.8,3948,3688.6,5356,6790,4530,5410,6805,4102,8515,3476,4925,7731,8085,6698.2,4997,5278,6242,5470
,5763,8410,5678.9,5158.35,5205.5,7004,5311.5,10175,7029.3,3994,3699,5375,6890,4550,5450,6875,4114,8480,3488,4935,7745,8035,6653.5,4362,5299,6270,5494
,5694.6,8475,5609.85,5118.3,4915,6694,5141,9635,7088.1,4032,3730.8,5434,6980,4600,5490,6935,4140,8670,3520,4985,7786,8085,6747.2,5047,5325,6311.2,5517
,5686.85,8475,5602.1,5132.95,4691.5,6606,4943.5,9120,7143.3,4071,3757.6,5489,7030,4650,5530,6990,4172,8760,3580,5015,7810,8085,6757.1,5044,5349,6338,5528
,5691.6,8425,5607.35,5150.9,4564.5,6582,4749.5,8837.5,7188,4107,3780.2,5534.5,7080,4690,5550,7040,4232,8845,3600,5040,7832,8085,6777.5,5032,5377,6370.8,5548
,5674.15,8440,5589.75,5140.15,4496,6664,4665.5,8447.5,7216.8,4129,3794.4,5565,7090,4720,5550,7090,4260,8915,3618,5060,7842,8065,6804.8,5036,5406,6406.8,5570
,5635.55,8430,5551.25,5063.5,4877.5,6586,4504,8135,7261.2,4177,3813.2,5601,7110,4770,5540,7135,4290,9015,3662,5095,7864,8095,6833.3,5091,5443,6451.6,5585
,5652.6,8420,5568.4,5098.05,4703.5,6706,4395.5,7477.5,7328.1,4293,3834.4,5643.5,7160,4820,5650,7175,4316,9090,3694,5115,7885,8070,6861.8,5101,5480,6483.6,5603
,5675.7,8430,5591.4,5138.5,4528.5,6466,4373,7202.5,7347.6,4266,3852.6,5680,7200,4850,5630,7220,4350,9185,3726,5140,7903,8055,6881.5,5122,5500,6501.6,5625
,5692.25,8465,5607.6,5181.4,4262.5,6582,4381,7145,7377.6,4300,3865.8,5701.5,7210,4860,5620,7230,4386,9250,3728,5160,7926,8080,6905.9,5126,5521,6529.2,5635
,5747.05,8450,5662.55,5254.8,4077,6686,4228,7210,7401.9,4333,3874.4,5723,7200,4860,5620,7270,4418,9305,3738,5185,7926,8065,6927.7,5144,5536,6539.6,5651
,5854.15,8450,5769.65,5340.6,4291,6766,4113,6530,7433.4,4383,3884,5749,7220,4880,5630,7315,4448,9355,3756,5205,7922,8045,6955.3,5164,5555,6578.8,5671
,5894.8,8490,5809.9,5374.2,4357,6688,4268.5,6595,7460.1,4407,3896.8,5777,7190,4860,5630,7370,4488,9420,3778,5230,7930,8120,6977.9,5164,5587,6609.2,5685
,5839.4,8560,5753.8,5334.7,4191,6572,4259.5,6510,7468.5,4420,3899.6,5792,7170,4870,5610,7380,4498,9465,3814,5245,7914,8055,6996.6,5181,5602,6623.6,5704
,5778.15,8600,5692.15,5289.6,4025.5,6786,4183.5,6345,7466.7,4453,3892.4,5790,7170,4860,5610,7385,4500,9495,3808,5250,7882,8020,7029.6,5187,5626,6662.4,5724
,5797.75,8525,5712.5,5313.1,3994.5,6388,4190.5,6315,7472.7,4466,3896,5799,7170,4890,5620,7400,4514,9510,3816,5260,7882,8040,7057.6,5196,5642,6707.2,5752
,5790.7,8495,5705.75,5312.3,3934.5,6788,4099,6095,7475.4,4494,3893.4,5798,7170,4930,5620,7405,4512,9505,3814,5270,7871,8020,7092.5,5192,5656,6779.6,5772
,5786.3,8490,5701.4,5302.45,3989,6770,4179,6002.5,7489.5,4535,3896.6,5807,7180,4940,5640,7410,4512,9515,3854,5270,7869,8040,7102.7,5201,5671,6778.4,5798
,5758.6,8485,5673.75,5217.2,4565.5,6634,4211.5,5710,7492.8,4556,3894.4,5808,7150,4950,5620,7400,4500,9520,3878,5275,7856,8035,7129.5,5215,5687,6793.2,5817
,5764.75,8515,5679.6,5234.5,4451,6634,4160.5,5972.5,7474.5,4549,3884,5790,7120,4950,5590,7390,4486,9495,3866,5275,7840,8010,7149.1,5220,5689,6818,5835
,5804.75,8505,5719.7,5288.4,4312.5,6500,4169.5,5985,7485.9,4615,3878.6,5784,7100,4970,5600,7375,4480,9480,3872,5275,7825,8020,7178.6,5210,5707,6858,5860
,5801.35,8510,5716.25,5308.75,4075,6612,4197.5,5982.5,7476.9,4645,3865.6,5760,7040,4940,5570,7355,4450,9410,3888,5260,7808,7990,7198,5222,5710,6882.4,5885
,5829.75,8525,5744.5,5344,4005.5,6560,4151,5730,7467,4662,3857,5748.5,7080,4900,5560,7340,4436,9370,3904,5240,7788,7995,7227,5229,5717,6916,5906
,5913.7,8510,5828.6,5390.95,4376.5,6322,4230,5775,7451.4,4655,3849.2,5734.5,7080,4910,5550,7325,4408,9315,3916,5235,7777,8020,7245,5233,5725,6938,5929
,5962,8520,5876.8,5442.7,4341,6286,4256.5,5822.5,7436.7,4662,3840,5714,7090,4890,5560,7305,4380,9260,3922,5220,7772,8000,7266.9,5237,5728,6941.2,5950
,5920.25,8630,5833.95,5431.4,4025.5,6242,4098,5645,7437.9,4688,3837.2,5703.5,7140,4940,5570,7305,4350,9225,3928,5215,7779,8025,7287.3,5223,5737,6961.6,5978
